# technique: ADT
# step_index: 1
# timestamp: 2026-03-23T21:06:24.443036
# data_points: 2500
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 48.5s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Time/sec,Current/A,cycle
9.459999999999999,-4.037e-08,2
9.469999999999999,-4.247e-08,2
9.479999999999999,-3.933e-08,2
9.489999999999998,-3.199e-08,2
9.5,-3.408e-08,2
9.51,-4.247e-08,2
9.52,-4.666e-08,2
9.53,-5.4e-08,2
9.54,-5.82e-08,2
9.549999999999999,-3.933e-08,2
9.559999999999999,-4.666e-08,2
9.57,-4.142e-08,2
9.58,-4.876e-08,2
9.59,-4.142e-08,2
9.6,-5.505e-08,2
9.61,-4.981e-08,2
9.62,-5.82e-08,2
9.629999999999999,-5.191e-08,2
9.639999999999999,-4.981e-08,2
9.649999999999999,-3.304e-08,2
9.66,-6.449e-08,2
9.67,-5.4e-08,2
9.68,-5.4e-08,2
9.69,-6.029e-08,2
9.7,-5.715e-08,2
9.709999999999999,-5.086e-08,2
9.719999999999999,-5.295e-08,2
9.729999999999999,-5.924e-08,2
9.739999999999998,-5.4e-08,2
9.75,-4.142e-08,2
9.76,-3.933e-08,2
9.77,-4.457e-08,2
9.78,-4.037e-08,2
9.79,-3.828e-08,2
9.799999999999999,-4.247e-08,2
9.809999999999999,-3.723e-08,2
9.82,-4.247e-08,2
9.83,-4.247e-08,2
9.84,-4.037e-08,2
9.85,-4.666e-08,2
9.86,-6.239e-08,2
9.87,-4.666e-08,2
9.879999999999999,-5.191e-08,2
9.889999999999999,-4.666e-08,2
9.899999999999999,-5.295e-08,2
9.91,-5.191e-08,2
9.92,-5.715e-08,2
9.93,-4.981e-08,2
9.94,-5.61e-08,2
9.95,-6.763e-08,2
9.959999999999999,-6.344e-08,2
9.969999999999999,-4.771e-08,2
9.979999999999999,-6.763e-08,2
9.989999999999998,-6.973e-08,2
10.0,-6.344e-08,2
10.01,-6.763e-08,2
10.02,-6.344e-08,2
10.03,-6.658e-08,2
10.049999999999999,3.687,3
10.059999999999999,3.687,3
10.069999999999999,3.687,3
10.079999999999998,3.687,3
10.09,3.687,3
10.1,3.687,3
10.11,3.687,3
10.12,3.687,3
10.129999999999999,3.687,3
10.139999999999999,3.687,3
10.149999999999999,3.687,3
10.159999999999998,3.687,3
10.17,3.687,3
10.18,3.687,3
10.19,3.687,3
10.2,3.687,3
10.209999999999999,3.687,3
10.219999999999999,3.687,3
10.229999999999999,3.687,3
10.239999999999998,3.687,3
10.25,3.687,3
10.26,3.687,3
10.27,3.687,3
10.28,3.687,3
10.29,3.687,3
10.299999999999999,3.687,3
